symbol,exchange,name
NVDA-USD-STK,NASDAQ,英伟达
AMD-USD-STK,NASDAQ,超威半导体
INTC-USD-STK,NASDAQ,英特尔
QCOM-USD-STK,NASDAQ,高通
TXN-USD-STK,NASDAQ,德州仪器
MU-USD-STK,NASDAQ,美光科技
AVGO-USD-STK,NASDAQ,博通
AMAT-USD-STK,NASDAQ,应用材料
LRCX-USD-STK,NASDAQ,泛林集团
ASML-USD-STK,NASDAQ,阿斯麦
SMCI-USD-STK,NASDAQ,超微电脑
AAPL-USD-STK,NASDAQ,苹果
MSFT-USD-STK,NASDAQ,微软
GOOGL-USD-STK,NASDAQ,Alphabet(谷歌)
AMZN-USD-STK,NASDAQ,亚马逊
META-USD-STK,NASDAQ,Meta平台
TSLA-USD-STK,NASDAQ,特斯拉
ORCL-USD-STK,NASDAQ,甲骨文
CRM-USD-STK,NASDAQ,Salesforce
ADBE-USD-STK,NASDAQ,Adobe
NFLX-USD-STK,NASDAQ,奈飞
CSCO-USD-STK,NASDAQ,思科
IBM-USD-STK,NYSE,IBM
NOW-USD-STK,NASDAQ,ServiceNow
INTU-USD-STK,NASDAQ,Intuit
PANW-USD-STK,NASDAQ,Palo Alto Networks
CRWD-USD-STK,NASDAQ,CrowdStrike
FTNT-USD-STK,NASDAQ,Fortinet
SNOW-USD-STK,NASDAQ,Snowflake
PLTR-USD-STK,NASDAQ,Palantir
ANET-USD-STK,NASDAQ,Arista Networks
DELL-USD-STK,NASDAQ,戴尔科技
UBER-USD-STK,NASDAQ,优步
ABNB-USD-STK,NASDAQ,爱彼迎
SHOP-USD-STK,NASDAQ,Shopify
PYPL-USD-STK,NASDAQ,贝宝
JPM-USD-STK,NYSE,摩根大通
BAC-USD-STK,NYSE,美国银行
WFC-USD-STK,NYSE,富国银行
C-USD-STK,NYSE,花旗集团
GS-USD-STK,NYSE,高盛
MS-USD-STK,NYSE,摩根士丹利
SCHW-USD-STK,NYSE,嘉信理财
AXP-USD-STK,NYSE,美国运通
V-USD-STK,NYSE,Visa
MA-USD-STK,NYSE,万事达
WMT-USD-STK,NYSE,沃尔玛
COST-USD-STK,NASDAQ,好市多
TGT-USD-STK,NYSE,塔吉特
HD-USD-STK,NYSE,家得宝
LOW-USD-STK,NYSE,劳氏
MCD-USD-STK,NYSE,麦当劳
SBUX-USD-STK,NASDAQ,星巴克
KO-USD-STK,NYSE,可口可乐
PEP-USD-STK,NYSE,百事可乐
PG-USD-STK,NYSE,宝洁
NKE-USD-STK,NYSE,耐克
LULU-USD-STK,NASDAQ,Lululemon
JNJ-USD-STK,NYSE,强生
PFE-USD-STK,NYSE,辉瑞
MRK-USD-STK,NYSE,默沙东
ABBV-USD-STK,NYSE,艾伯维
LLY-USD-STK,NYSE,礼来
UNH-USD-STK,NYSE,联合健康
AMGN-USD-STK,NASDAQ,安进
GILD-USD-STK,NASDAQ,吉利德
BMY-USD-STK,NYSE,百时美施贵宝
TMO-USD-STK,NYSE,赛默飞世尔
DHR-USD-STK,NYSE,丹纳赫
ABT-USD-STK,NYSE,雅培
MDT-USD-STK,NYSE,美敦力
ISRG-USD-STK,NASDAQ,直觉外科
VRTX-USD-STK,NASDAQ,福泰制药
CAT-USD-STK,NYSE,卡特彼勒
DE-USD-STK,NYSE,迪尔
HON-USD-STK,NYSE,霍尼韦尔
GE-USD-STK,NYSE,通用电气
BA-USD-STK,NYSE,波音
LMT-USD-STK,NYSE,洛克希德马丁
RTX-USD-STK,NYSE,雷神技术
ETN-USD-STK,NYSE,伊顿
UPS-USD-STK,NYSE,联合包裹
FDX-USD-STK,NYSE,联邦快递
XOM-USD-STK,NYSE,埃克森美孚
CVX-USD-STK,NYSE,雪佛龙
COP-USD-STK,NYSE,康菲石油
SLB-USD-STK,NYSE,斯伦贝谢
EOG-USD-STK,NYSE,EOG资源
LIN-USD-STK,NYSE,林德
APD-USD-STK,NYSE,空气产品
NEM-USD-STK,NYSE,纽蒙特
NEE-USD-STK,NYSE,新纪元能源
DUK-USD-STK,NYSE,杜克能源
SO-USD-STK,NYSE,南方公司
T-USD-STK,NYSE,AT&T
VZ-USD-STK,NYSE,威瑞森
TMUS-USD-STK,NASDAQ,T-Mobile
DIS-USD-STK,NYSE,迪士尼
CMCSA-USD-STK,NYSE,康卡斯特
SPOT-USD-STK,NYSE,Spotify
700-HKD-STK,SEHK,腾讯控股
9988-HKD-STK,SEHK,阿里巴巴-W
3690-HKD-STK,SEHK,美团-W
1810-HKD-STK,SEHK,小米集团-W
9618-HKD-STK,SEHK,京东集团-SW
9999-HKD-STK,SEHK,网易-S
1024-HKD-STK,SEHK,快手-W
9888-HKD-STK,SEHK,百度集团-SW
9961-HKD-STK,SEHK,携程集团-S
1698-HKD-STK,SEHK,腾讯音乐-SW
268-HKD-STK,SEHK,金蝶国际
3888-HKD-STK,SEHK,金山软件
2518-HKD-STK,SEHK,地平线机器人-W
5-HKD-STK,SEHK,汇丰控股
11-HKD-STK,SEHK,恒生银行
388-HKD-STK,SEHK,香港交易所
1299-HKD-STK,SEHK,友邦保险
2318-HKD-STK,SEHK,中国平安
2628-HKD-STK,SEHK,中国人寿
1336-HKD-STK,SEHK,新华保险
2328-HKD-STK,SEHK,中国财险
2601-HKD-STK,SEHK,中国太保
939-HKD-STK,SEHK,建设银行
1398-HKD-STK,SEHK,工商银行
3988-HKD-STK,SEHK,中国银行
3968-HKD-STK,SEHK,招商银行
3328-HKD-STK,SEHK,交通银行
2388-HKD-STK,SEHK,中银香港
6030-HKD-STK,SEHK,中信证券
2319-HKD-STK,SEHK,蒙牛乳业
6862-HKD-STK,SEHK,海底捞
9922-HKD-STK,SEHK,九毛九
1876-HKD-STK,SEHK,百威亚太
291-HKD-STK,SEHK,华润啤酒
168-HKD-STK,SEHK,青岛啤酒股份
288-HKD-STK,SEHK,万洲国际
2020-HKD-STK,SEHK,安踏体育
2331-HKD-STK,SEHK,李宁
9987-HKD-STK,SEHK,百胜中国
1093-HKD-STK,SEHK,石药集团
1177-HKD-STK,SEHK,中国生物制药
1801-HKD-STK,SEHK,信达生物
2269-HKD-STK,SEHK,药明生物
2359-HKD-STK,SEHK,药明康德
6160-HKD-STK,SEHK,百济神州
6618-HKD-STK,SEHK,京东健康
241-HKD-STK,SEHK,阿里健康
2367-HKD-STK,SEHK,巨子生物
2418-HKD-STK,SEHK,药明合联
1211-HKD-STK,SEHK,比亚迪股份
175-HKD-STK,SEHK,吉利汽车
2333-HKD-STK,SEHK,长城汽车
2015-HKD-STK,SEHK,理想汽车-W
9866-HKD-STK,SEHK,蔚来-SW
9868-HKD-STK,SEHK,小鹏汽车-W
857-HKD-STK,SEHK,中国石油股份
883-HKD-STK,SEHK,中国海洋石油
386-HKD-STK,SEHK,中国石油化工股份
1088-HKD-STK,SEHK,中国神华
2899-HKD-STK,SEHK,紫金矿业
1818-HKD-STK,SEHK,招金矿业
1171-HKD-STK,SEHK,兖矿能源
1-HKD-STK,SEHK,长和
16-HKD-STK,SEHK,新鸿基地产
