vt_symbol,代码,名称,行业,计价货币
700-HKD-STK.SEHK,700,腾讯控股,科技-互联网/游戏,HKD
9988-HKD-STK.SEHK,9988,阿里巴巴-W,科技-互联网/电商,HKD
3690-HKD-STK.SEHK,3690,美团-W,科技-本地生活,HKD
1810-HKD-STK.SEHK,1810,小米集团-W,科技-消费电子/汽车,HKD
9618-HKD-STK.SEHK,9618,京东集团-SW,科技-电商/物流,HKD
9999-HKD-STK.SEHK,9999,网易-S,科技-游戏,HKD
1024-HKD-STK.SEHK,1024,快手-W,科技-短视频,HKD
9888-HKD-STK.SEHK,9888,百度集团-SW,科技-AI/搜索,HKD
9961-HKD-STK.SEHK,9961,携程集团-S,科技-在线旅游,HKD
1698-HKD-STK.SEHK,1698,腾讯音乐-SW,科技-在线音乐,HKD
268-HKD-STK.SEHK,268,金蝶国际,科技-企业管理软件,HKD
3888-HKD-STK.SEHK,3888,金山软件,科技-办公/游戏,HKD
2518-HKD-STK.SEHK,2518,地平线机器人-W,科技-智驾芯片,HKD
5-HKD-STK.SEHK,5,汇丰控股,金融-银行,HKD
11-HKD-STK.SEHK,11,恒生银行,金融-银行,HKD
388-HKD-STK.SEHK,388,香港交易所,金融-交易所,HKD
1299-HKD-STK.SEHK,1299,友邦保险,金融-保险,HKD
2318-HKD-STK.SEHK,2318,中国平安,金融-保险/银行,HKD
2628-HKD-STK.SEHK,2628,中国人寿,金融-保险,HKD
1336-HKD-STK.SEHK,1336,新华保险,金融-保险,HKD
2328-HKD-STK.SEHK,2328,中国财险,金融-财险,HKD
2601-HKD-STK.SEHK,2601,中国太保,金融-保险,HKD
939-HKD-STK.SEHK,939,建设银行,金融-银行,HKD
1398-HKD-STK.SEHK,1398,工商银行,金融-银行,HKD
3988-HKD-STK.SEHK,3988,中国银行,金融-银行,HKD
3968-HKD-STK.SEHK,3968,招商银行,金融-银行,HKD
3328-HKD-STK.SEHK,3328,交通银行,金融-银行,HKD
2388-HKD-STK.SEHK,2388,中银香港,金融-银行,HKD
6030-HKD-STK.SEHK,6030,中信证券,金融-券商,HKD
2319-HKD-STK.SEHK,2319,蒙牛乳业,消费-乳制品,HKD
6862-HKD-STK.SEHK,6862,海底捞,消费-餐饮,HKD
9922-HKD-STK.SEHK,9922,九毛九,消费-餐饮,HKD
1876-HKD-STK.SEHK,1876,百威亚太,消费-啤酒,HKD
291-HKD-STK.SEHK,291,华润啤酒,消费-啤酒,HKD
168-HKD-STK.SEHK,168,青岛啤酒股份,消费-啤酒,HKD
288-HKD-STK.SEHK,288,万洲国际,消费-肉制品,HKD
2020-HKD-STK.SEHK,2020,安踏体育,消费-运动服饰,HKD
2331-HKD-STK.SEHK,2331,李宁,消费-运动服饰,HKD
9987-HKD-STK.SEHK,9987,百胜中国,消费-餐饮,HKD
1093-HKD-STK.SEHK,1093,石药集团,医药-制药,HKD
1177-HKD-STK.SEHK,1177,中国生物制药,医药-制药,HKD
1801-HKD-STK.SEHK,1801,信达生物,医药-创新药,HKD
2269-HKD-STK.SEHK,2269,药明生物,医药-CXO,HKD
2359-HKD-STK.SEHK,2359,药明康德,医药-CXO,HKD
6160-HKD-STK.SEHK,6160,百济神州,医药-创新药,HKD
6618-HKD-STK.SEHK,6618,京东健康,医药-互联网医疗,HKD
241-HKD-STK.SEHK,241,阿里健康,医药-互联网医疗,HKD
2367-HKD-STK.SEHK,2367,巨子生物,医药-重组胶原蛋白,HKD
2418-HKD-STK.SEHK,2418,药明合联,医药-CXO,HKD
