vt_symbol,ticker,名称,行业,计价货币
NVDA-USD-STK.SMART,NVDA,英伟达,半导体-GPU/AI芯片,USD
AMD-USD-STK.SMART,AMD,超威半导体,半导体-CPU/GPU,USD
INTC-USD-STK.SMART,INTC,英特尔,半导体-处理器,USD
QCOM-USD-STK.SMART,QCOM,高通,半导体-无线通信,USD
TXN-USD-STK.SMART,TXN,德州仪器,半导体-模拟芯片,USD
MU-USD-STK.SMART,MU,美光科技,半导体-存储芯片,USD
AVGO-USD-STK.SMART,AVGO,博通,半导体-定制芯片/网络,USD
AMAT-USD-STK.SMART,AMAT,应用材料,半导体-设备,USD
LRCX-USD-STK.SMART,LRCX,泛林集团,半导体-设备,USD
ASML-USD-STK.SMART,ASML,阿斯麦,半导体-光刻机,USD
SMCI-USD-STK.SMART,SMCI,超微电脑,服务器/AI硬件,USD
AAPL-USD-STK.SMART,AAPL,苹果,科技-消费电子,USD
MSFT-USD-STK.SMART,MSFT,微软,科技-软件/AI/云,USD
GOOGL-USD-STK.SMART,GOOGL,Alphabet(谷歌),科技-互联网/AI,USD
AMZN-USD-STK.SMART,AMZN,亚马逊,科技-电商/云,USD
META-USD-STK.SMART,META,Meta平台,科技-社交媒体,USD
TSLA-USD-STK.SMART,TSLA,特斯拉,科技-电动车/能源,USD
ORCL-USD-STK.SMART,ORCL,甲骨文,科技-数据库/云,USD
CRM-USD-STK.SMART,CRM,Salesforce,科技-SaaS/CRM,USD
ADBE-USD-STK.SMART,ADBE,Adobe,科技-创意软件,USD
NFLX-USD-STK.SMART,NFLX,奈飞,科技-流媒体,USD
CSCO-USD-STK.SMART,CSCO,思科,科技-网络设备,USD
IBM-USD-STK.SMART,IBM,IBM,科技-企业IT/AI,USD
NOW-USD-STK.SMART,NOW,ServiceNow,科技-云工作流,USD
INTU-USD-STK.SMART,INTU,Intuit,科技-财税软件,USD
PANW-USD-STK.SMART,PANW,Palo Alto Networks,科技-网络安全,USD
CRWD-USD-STK.SMART,CRWD,CrowdStrike,科技-网络安全,USD
FTNT-USD-STK.SMART,FTNT,Fortinet,科技-网络安全,USD
SNOW-USD-STK.SMART,SNOW,Snowflake,科技-数据云,USD
PLTR-USD-STK.SMART,PLTR,Palantir,科技-大数据/AI,USD
ANET-USD-STK.SMART,ANET,Arista Networks,科技-网络设备,USD
DELL-USD-STK.SMART,DELL,戴尔科技,科技-硬件/服务器,USD
UBER-USD-STK.SMART,UBER,优步,科技-出行/配送,USD
ABNB-USD-STK.SMART,ABNB,爱彼迎,科技-在线短租,USD
SHOP-USD-STK.SMART,SHOP,Shopify,科技-电商SaaS,USD
PYPL-USD-STK.SMART,PYPL,贝宝,金融科技-支付,USD
JPM-USD-STK.SMART,JPM,摩根大通,金融-银行,USD
BAC-USD-STK.SMART,BAC,美国银行,金融-银行,USD
WFC-USD-STK.SMART,WFC,富国银行,金融-银行,USD
C-USD-STK.SMART,C,花旗集团,金融-银行,USD
GS-USD-STK.SMART,GS,高盛,金融-投行,USD
MS-USD-STK.SMART,MS,摩根士丹利,金融-投行,USD
SCHW-USD-STK.SMART,SCHW,嘉信理财,金融-券商,USD
AXP-USD-STK.SMART,AXP,美国运通,金融-信用卡,USD
V-USD-STK.SMART,V,Visa,金融科技-支付,USD
MA-USD-STK.SMART,MA,万事达,金融科技-支付,USD
WMT-USD-STK.SMART,WMT,沃尔玛,消费-零售,USD
COST-USD-STK.SMART,COST,好市多,消费-仓储零售,USD
TGT-USD-STK.SMART,TGT,塔吉特,消费-零售,USD
HD-USD-STK.SMART,HD,家得宝,消费-家居建材,USD
LOW-USD-STK.SMART,LOW,劳氏,消费-家居建材,USD
MCD-USD-STK.SMART,MCD,麦当劳,消费-快餐,USD
SBUX-USD-STK.SMART,SBUX,星巴克,消费-咖啡连锁,USD
KO-USD-STK.SMART,KO,可口可乐,消费-饮料,USD
PEP-USD-STK.SMART,PEP,百事可乐,消费-食品饮料,USD
PG-USD-STK.SMART,PG,宝洁,消费-日化,USD
NKE-USD-STK.SMART,NKE,耐克,消费-运动服饰,USD
LULU-USD-STK.SMART,LULU,Lululemon,消费-运动服饰,USD
JNJ-USD-STK.SMART,JNJ,强生,医疗-制药/器械,USD
PFE-USD-STK.SMART,PFE,辉瑞,医疗-制药,USD
MRK-USD-STK.SMART,MRK,默沙东,医疗-制药,USD
ABBV-USD-STK.SMART,ABBV,艾伯维,医疗-制药,USD
LLY-USD-STK.SMART,LLY,礼来,医疗-制药,USD
UNH-USD-STK.SMART,UNH,联合健康,医疗-保险/服务,USD
AMGN-USD-STK.SMART,AMGN,安进,医疗-生物制药,USD
GILD-USD-STK.SMART,GILD,吉利德,医疗-生物制药,USD
BMY-USD-STK.SMART,BMY,百时美施贵宝,医疗-制药,USD
TMO-USD-STK.SMART,TMO,赛默飞世尔,医疗-生命科学工具,USD
DHR-USD-STK.SMART,DHR,丹纳赫,医疗-诊断/工具,USD
ABT-USD-STK.SMART,ABT,雅培,医疗-器械/诊断,USD
MDT-USD-STK.SMART,MDT,美敦力,医疗-医疗器械,USD
ISRG-USD-STK.SMART,ISRG,直觉外科,医疗-手术机器人,USD
VRTX-USD-STK.SMART,VRTX,福泰制药,医疗-生物制药,USD
CAT-USD-STK.SMART,CAT,卡特彼勒,工业-工程机械,USD
DE-USD-STK.SMART,DE,迪尔,工业-农机,USD
HON-USD-STK.SMART,HON,霍尼韦尔,工业-多元化,USD
GE-USD-STK.SMART,GE,通用电气,工业-多元化/航空,USD
BA-USD-STK.SMART,BA,波音,工业-航空航天,USD
LMT-USD-STK.SMART,LMT,洛克希德马丁,工业-军工,USD
RTX-USD-STK.SMART,RTX,雷神技术,工业-军工/航空,USD
ETN-USD-STK.SMART,ETN,伊顿,工业-电气设备,USD
UPS-USD-STK.SMART,UPS,联合包裹,工业-物流,USD
FDX-USD-STK.SMART,FDX,联邦快递,工业-物流,USD
XOM-USD-STK.SMART,XOM,埃克森美孚,能源-油气,USD
CVX-USD-STK.SMART,CVX,雪佛龙,能源-油气,USD
COP-USD-STK.SMART,COP,康菲石油,能源-油气,USD
SLB-USD-STK.SMART,SLB,斯伦贝谢,能源-油服,USD
EOG-USD-STK.SMART,EOG,EOG资源,能源-页岩油气,USD
